Gender,Age,Branch,Administration Level,Entry Time,Years of Service,Highest Education Level,Status,Rank,Salary Rank,Description,Attrition
Female,22,BRC Culture & Tourism,Staff,4/2/18,0,Bachelor,Intern,1,P 1.1,Marketing & CRM-Planning,Yes
Female,24,BRC Culture & Tourism,Staff,4/9/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,33,BRC Culture & Tourism,Staff,4/10/18,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Channel,No
Female,22,BRC Culture & Tourism,Operator,4/16/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,27,BRC Culture & Tourism,Operator,4/16/18,0,High School,Full-time,1,P 1.0,Management,Yes
Male,29,BRC Culture & Tourism,Staff,4/10/18,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Channel,No
Female,32,BRC Culture & Tourism,Manager,5/2/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Planning,Yes
Male,30,BRC Culture & Tourism,Staff,4/24/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Marketing & CRM-Channel,Yes
Female,27,BRC Culture & Tourism,Staff,4/2/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Investment,No
Female,30,BRC Culture & Tourism,Staff,4/23/18,0,Bachelor,Full-time,1,P 1.1,Administration,Yes
Male,30,BRC Culture & Tourism,Manager,5/7/18,0,Bachelor,Full-time,3,P 3.1,Property Management,Yes
Female,28,BRC Culture & Tourism,Manager,4/16/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,32,BRC Culture & Tourism,Manager,3/19/18,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Marketing,Yes
Female,32,BRC Culture & Tourism,Staff,3/26/18,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Planning,Yes
Female,32,BRC Culture & Tourism,Staff,3/12/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Finance-Accounting,Yes
Male,26,BRC Culture & Tourism,Staff,3/12/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,31,BRC Culture & Tourism,Staff,3/23/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Finance-Cashier,Yes
Male,24,BRC Culture & Tourism,Staff,3/19/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Female,26,BRC Culture & Tourism,Staff,4/2/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Male,35,BRC Culture & Tourism,Manager,4/26/18,0,Bachelor,Full-time,3,P 3.1,Planning-Design,Yes
Female,30,BRC Culture & Tourism,Staff,3/26/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Management,Yes
Female,31,BRC Culture & Tourism,Staff,2/28/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Finance-Accounting,No
Male,34,BRC Culture & Tourism,Manager,2/20/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,30,BRC Culture & Tourism,Manager,3/30/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,31,BRC Culture & Tourism,Manager,3/12/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,42,BRC Culture & Tourism,Assistant General Manager,3/26/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Commercial Operation-Planning,Yes
Male,37,BRC Culture & Tourism,Manager,3/27/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,26,BRC Culture & Tourism,Deputy Manager,3/21/18,0,Bachelor,Full-time,2,P 2.1,Commercial Operation-Operation Management,Yes
Female,25,BRC Culture & Tourism,Staff,3/15/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Human Resources,Yes
Male,39,BRC Culture & Tourism,Assistant General Manager,3/26/18,0,Bachelor,Full-time,4,P 4.2,Planning-Design,Yes
Male,42,BRC Culture & Tourism,Deputy General Manager,3/28/18,0,Graduate Level (Master & Ph.d.),Full-time,5,M 5.1,Project Management,No
Female,26,BRC Culture & Tourism,Staff,3/22/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Human Resources,Yes
Male,22,BRC Culture & Tourism,Staff,3/12/18,0,Bachelor,Intern,1,P 1.1,Internal Business,Yes
Female,25,BRC Culture & Tourism,Staff,3/22/18,0,Graduate Level (Master & Ph.d.),Intern,1,P 1.1,Investment,Yes
Female,20,BRC Culture & Tourism,Operator,3/15/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Internal Business,Yes
Male,43,BRC Culture & Tourism,Assistant General Manager,6/11/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Planning-Design,Yes
Male,28,BRC Culture & Tourism,Staff,3/12/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,20,BRC Culture & Tourism,Operator,3/10/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Common,Yes
Male,19,BRC Culture & Tourism,Operator,3/14/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,3/21/17,1,Bachelor,Full-time,4,P 4.2,Property Management,Yes
Male,30,BRC Culture & Tourism,Operator,3/16/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Finance-Accounting,Yes
Female,22,BRC Culture & Tourism,Operator,3/14/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,20,BRC Culture & Tourism,Operator,3/14/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,25,BRC Culture & Tourism,Operator,3/20/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,25,BRC Culture & Tourism,Operator,3/15/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,20,BRC Culture & Tourism,Operator,3/10/17,1,High School,Intern,1,P 1.0,Commercial Operation-Common,Yes
Female,19,BRC Culture & Tourism,Operator,3/14/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,31,BRC Culture & Tourism,Assistant General Manager,4/17/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Commercial Operation-Operation Management,Yes
Female,29,BRC Culture & Tourism,Staff,3/22/17,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Planning,Yes
Male,26,BRC Culture & Tourism,Operator,3/13/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Project Management,Yes
Male,29,BRC Culture & Tourism,Manager,7/17/17,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Channel,Yes
Female,32,BRC Culture & Tourism,Staff,3/20/17,1,Bachelor,Full-time,1,P 1.3,Management-Brand Management,Yes
Female,24,BRC Culture & Tourism,Staff,3/27/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Male,31,BRC Culture & Tourism,Staff,3/6/17,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Marketing & CRM Management,Yes
Female,26,BRC Culture & Tourism,Operator,3/20/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,27,BRC Culture & Tourism,Operator,3/13/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,28,BRC Culture & Tourism,Operator,3/15/17,1,Bachelor,Full-time,1,P 1.0,Commercial Operation-Operation Management,No
Female,24,BRC Culture & Tourism,Staff,3/3/17,1,High School,Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Female,28,BRC Culture & Tourism,Staff,3/20/17,1,Bachelor,Full-time,1,P 1.1,Finance-Accounting,Yes
Male,31,BRC Culture & Tourism,Deputy Manager,3/7/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Investment,Yes
Female,28,BRC Culture & Tourism,Operator,3/17/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,28,BRC Culture & Tourism,Operator,3/7/17,1,Bachelor,Full-time,1,P 1.0,Internal Business,Yes
Male,26,BRC Culture & Tourism,Staff,2/28/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,34,BRC Culture & Tourism,Manager,3/10/17,0,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Channel,Yes
Female,31,BRC Culture & Tourism,Staff,3/13/17,1,Bachelor,Full-time,1,P 1.1,Finance-Accounting,No
Female,21,BRC Culture & Tourism,Operator,3/17/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,32,BRC Culture & Tourism,Staff,3/20/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Common,Yes
Male,32,BRC Culture & Tourism,Operator,3/6/17,0,Bachelor,Full-time,1,P 1.0,Finance-Accounting,Yes
Female,31,BRC Culture & Tourism,Staff,2/27/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.2,Finance-Cashier,Yes
Male,27,BRC Culture & Tourism,Staff,3/6/17,0,High School,Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Female,30,BRC Culture & Tourism,Staff,3/20/17,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Planning,Yes
Male,34,BRC Culture & Tourism,Deputy Manager,3/10/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Common,Yes
Female,32,BRC Culture & Tourism,Operator,3/16/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,22,BRC Culture & Tourism,Operator,3/8/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,27,BRC Culture & Tourism,Operator,3/20/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,31,BRC Culture & Tourism,Manager,3/15/17,1,Bachelor,Full-time,3,P 3.1,Marketing & CRM-Channel,No
Male,34,BRC Culture & Tourism,Staff,3/15/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Female,25,BRC Culture & Tourism,Staff,2/15/17,0,Graduate Level (Master & Ph.d.),Part-time,1,P 1.1,Finance-Accounting,Yes
Male,25,BRC Culture & Tourism,Operator,3/3/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,27,BRC Culture & Tourism,Operator,3/20/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,32,BRC Culture & Tourism,Staff,2/22/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,27,BRC Culture & Tourism,Staff,7/1/17,0,Graduate Level (Master & Ph.d.),Full-time,1,P 1.2,Investment,Yes
Male,28,BRC Culture & Tourism,Staff,3/20/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,26,BRC Culture & Tourism,Operator,3/6/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,26,BRC Culture & Tourism,Operator,3/8/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Female,25,BRC Culture & Tourism,Operator,3/8/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,37,BRC Culture & Tourism,Deputy Manager,3/6/17,0,Bachelor,Full-time,2,P 2.1,Marketing & CRM-Channel,Yes
Female,21,BRC Culture & Tourism,Operator,3/8/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,35,BRC Culture & Tourism,Deputy Manager,3/6/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Planning,Yes
Female,26,BRC Culture & Tourism,Staff,7/6/17,0,Graduate Level (Master & Ph.d.),Part-time,1,P 1.1,Commercial Operation-Planning,Yes
Male,32,BRC Culture & Tourism,Deputy Manager,3/29/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Marketing & CRM-Marketing,Yes
Female,36,BRC Culture & Tourism,Assistant General Manager,3/26/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Commercial Operation-Planning,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,3/12/18,0,Bachelor,Full-time,4,P 4.2,Planning-Design,No
Male,28,BRC Culture & Tourism,Staff,3/1/18,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Management,Yes
Male,30,BRC Culture & Tourism,Deputy Manager,3/1/18,0,Bachelor,Full-time,2,P 2.1,Commercial Operation-Operation Management,Yes
Male,47,BRC Culture & Tourism,Deputy General Manager,3/7/18,0,Bachelor,Full-time,5,M 5.1,Planning-Design,Yes
Female,30,BRC Culture & Tourism,Manager,2/23/18,0,Graduate Level (Master & Ph.d.),Full-time,3,P 3.1,Auditing,Yes
Female,32,BRC Culture & Tourism,Manager,2/1/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,40,BRC Culture & Tourism,Deputy General Manager,3/19/18,0,Bachelor,Full-time,5,P 5.1,Planning-Comprehensive,Yes
Female,23,BRC Culture & Tourism,Staff,2/1/18,0,Bachelor,Intern,1,P 1.1,Planning,Yes
Male,36,BRC Culture & Tourism,Manager,3/12/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,39,BRC Culture & Tourism,Manager,3/1/18,0,Bachelor,Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Male,43,BRC Culture & Tourism,Deputy General Manager,3/5/18,0,Bachelor,Full-time,5,M 5.1,Project Management,Yes
Male,44,BRC Culture & Tourism,Assistant General Manager,3/14/18,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Male,48,BRC Culture & Tourism,Assistant General Manager,3/5/18,0,High School,Full-time,4,P 4.2,Commercial Operation-Operation Management,No
Male,32,BRC Culture & Tourism,Manager,3/19/18,0,Bachelor,Full-time,3,P 3.1,Planning-Design,Yes
Female,41,BRC Culture & Tourism,Assistant General Manager,2/26/18,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Planning,Yes
Male,36,BRC Culture & Tourism,Assistant General Manager,3/1/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Finance-Budget,No
Male,36,BRC Culture & Tourism,Assistant General Manager,3/1/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Commercial Operation-Planning,No
Male,30,BRC Culture & Tourism,Assistant General Manager,4/6/18,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,No
Male,29,BRC Culture & Tourism,Manager,2/28/18,0,Bachelor,Full-time,3,P 3.1,Project Management,No
Female,19,BRC Culture & Tourism,Operator,1/25/18,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,38,BRC Culture & Tourism,Assistant General Manager,3/5/18,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Planning-Design,Yes
Male,37,BRC Culture & Tourism,Assistant General Manager,3/7/18,0,Bachelor,Full-time,4,P 4.2,Bidding,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,2/22/18,0,Bachelor,Full-time,4,P 4.1,Auditing-Cost Management,Yes
Female,29,BRC Culture & Tourism,Staff,1/25/18,0,Bachelor,Full-time,1,P 1.3,Commercial Operation-Operation Management,Yes
Male,41,BRC Culture & Tourism,General Manager,2/26/18,0,Graduate Level (Master & Ph.d.),Full-time,6,M 6.1,Planning-Comprehensive,Yes
Male,24,BRC Culture & Tourism,Operator,12/25/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,20,BRC Culture & Tourism,Operator,1/13/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,28,BRC Culture & Tourism,Operator,12/20/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,25,BRC Culture & Tourism,Operator,6/24/17,0,Bachelor,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,26,BRC Culture & Tourism,Operator,2/4/17,2,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,No
Male,34,BRC Culture & Tourism,Assistant General Manager,1/16/17,2,Bachelor,Full-time,4,P 4.1,Marketing & CRM-Marketing,No
Female,21,BRC Culture & Tourism,Operator,1/14/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,24,BRC Culture & Tourism,Operator,1/13/17,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Common,Yes
Female,21,BRC Culture & Tourism,Operator,1/18/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,31,BRC Culture & Tourism,Staff,1/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Project Management,Yes
Male,19,BRC Culture & Tourism,Operator,1/16/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,27,BRC Culture & Tourism,Deputy Manager,12/20/16,1,Bachelor,Full-time,2,P 2.1,Marketing & CRM-Planning,Yes
Male,21,BRC Culture & Tourism,Operator,1/13/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,21,BRC Culture & Tourism,Operator,12/29/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,33,BRC Culture & Tourism,Staff,2/10/17,2,Bachelor,Full-time,1,P 1.3,Finance-Accounting,No
Female,20,BRC Culture & Tourism,Operator,12/30/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,21,BRC Culture & Tourism,Operator,1/13/17,0,High School,Intern,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,24,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,19,BRC Culture & Tourism,Operator,7/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,31,BRC Culture & Tourism,Operator,12/22/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,27,BRC Culture & Tourism,Operator,12/19/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,22,BRC Culture & Tourism,Operator,1/17/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,25,BRC Culture & Tourism,Staff,2/6/17,1,Graduate Level (Master & Ph.d.),Part-time,1,P 1.1,Human Resources,Yes
Male,48,BRC Culture & Tourism,Operator,1/18/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,45,BRC Culture & Tourism,Operator,1/18/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,20,BRC Culture & Tourism,Operator,7/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,20,BRC Culture & Tourism,Operator,9/1/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,52,BRC Culture & Tourism,Operator,1/18/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,19,BRC Culture & Tourism,Operator,1/13/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,29,BRC Culture & Tourism,Staff,12/15/16,0,Bachelor,Full-time,1,P 1.1,Marketing & CRM-Marketing & CRM Management,Yes
Female,42,BRC Culture & Tourism,Operator,1/17/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,25,BRC Culture & Tourism,Staff,2/1/17,1,Graduate Level (Master & Ph.d.),Full-time,1,P 1.1,Commercial Operation-Planning,Yes
Female,53,BRC Culture & Tourism,Operator,1/10/17,0,Under High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,30,BRC Culture & Tourism,Deputy Manager,1/10/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,2,P 2.1,Commercial Operation-Commercial Management,Yes
Male,25,BRC Culture & Tourism,Operator,1/10/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Operation Management,Yes
Male,28,BRC Culture & Tourism,Operator,12/15/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Male,27,BRC Culture & Tourism,Operator,2/3/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Male,32,BRC Culture & Tourism,Assistant General Manager,2/24/17,0,Graduate Level (Master & Ph.d.),Full-time,4,P 4.2,Marketing & CRM-Marketing,Yes
Male,24,BRC Culture & Tourism,Operator,12/25/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,23,BRC Culture & Tourism,Operator,1/17/17,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,19,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,24,BRC Culture & Tourism,Operator,12/28/16,0,Bachelor,Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,21,BRC Culture & Tourism,Operator,1/11/17,2,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,No
Male,28,BRC Culture & Tourism,Staff,1/19/17,0,Bachelor,Full-time,1,P 1.1,Commercial Operation-Common,Yes
Male,20,BRC Culture & Tourism,Operator,2/7/17,0,High School,Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,31,BRC Culture & Tourism,Deputy Manager,5/4/15,0,Bachelor,Full-time,2,P 2.1,Marketing & CRM-Marketing,Yes
Male,27,BRC Culture & Tourism,Operator,12/12/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Commercial Management,Yes
Female,26,BRC Culture & Tourism,Operator,11/24/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,25,BRC Culture & Tourism,Operator,12/15/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,11/25/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,25,BRC Culture & Tourism,Staff,12/1/16,0,Bachelor,Intern,1,P 1.1,Commercial Operation-Operation Management,Yes
Male,35,BRC Culture & Tourism,Staff,12/16/16,1,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.3,Project Management,Yes
Female,29,BRC Culture & Tourism,Staff,12/12/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Female,24,BRC Culture & Tourism,Staff,7/1/17,1,Bachelor,Full-time,1,P 1.1,Investment,Yes
Male,19,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,32,BRC Culture & Tourism,Staff,12/1/16,1,Bachelor,Full-time,1,P 1.2,Finance-Accounting,Yes
Female,25,BRC Culture & Tourism,Staff,12/30/16,0,Bachelor,Intern,1,P 1.1,Management-Brand Management,Yes
Female,23,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,22,BRC Culture & Tourism,Operator,7/1/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,20,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,19,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Female,23,BRC Culture & Tourism,Operator,12/28/16,0,"Community College, Two-Year Program, or Equivalent ",Intern,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,20,BRC Culture & Tourism,Operator,7/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,34,BRC Culture & Tourism,Deputy Manager,12/14/16,0,Bachelor,Full-time,2,P 2.1,Marketing & CRM-Channel,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,11/23/16,0,Bachelor,Full-time,4,P 4.2,Commercial Operation-Operation Management,Yes
Female,20,BRC Culture & Tourism,Operator,11/24/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,27,BRC Culture & Tourism,Operator,12/15/16,0,High School,Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,29,BRC Culture & Tourism,Deputy Manager,12/13/16,0,Bachelor,Full-time,2,P 2.1,Marketing & CRM-Planning,Yes
Female,37,BRC Culture & Tourism,Staff,11/15/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Commercial Operation-Operation Management,Yes
Male,19,BRC Culture & Tourism,Operator,7/13/17,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Common,Yes
Female,34,BRC Culture & Tourism,Staff,10/20/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.1,Marketing & CRM-Planning,Yes
Female,26,BRC Culture & Tourism,Staff,11/25/16,0,Bachelor,Full-time,1,P 1.1,Management-Brand Management,Yes
Male,40,BRC Culture & Tourism,Manager,10/14/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,3,P 3.1,Commercial Operation-Operation Management,Yes
Female,30,BRC Culture & Tourism,Deputy Manager,10/26/16,0,Bachelor,Full-time,2,P 2.1,Commercial Operation-Investment,Yes
Male,32,BRC Culture & Tourism,Staff,11/10/16,1,Bachelor,Full-time,1,P 1.1,Project Management,Yes
Male,44,BRC Culture & Tourism,Operator,11/14/16,0,High School,Full-time,1,P 1.0,Project Management,Yes
Male,31,BRC Culture & Tourism,Manager,4/16/18,0,Bachelor,Full-time,3,P 3.1,Project Management,Yes
Male,32,BRC Culture & Tourism,Staff,10/26/16,0,Bachelor,Full-time,1,P 1.3,Marketing & CRM-Channel,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,2/20/17,1,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.1,Commercial Operation-Commercial Management,Yes
Male,33,BRC Culture & Tourism,Assistant General Manager,11/25/16,2,"Community College, Two-Year Program, or Equivalent ",Full-time,4,P 4.2,Marketing & CRM-Marketing,No
Male,28,BRC Culture & Tourism,Operator,11/10/16,0,"Community College, Two-Year Program, or Equivalent ",Full-time,1,P 1.0,Commercial Operation-Customer Service,Yes
Male,36,BRC Culture & Tourism,Deputy General Manager,3/3/17,1,Bachelor,Full-time,5,M 5.1,Commercial Operation-Commercial Management,Yes
